timestamp,consumption,label,seq_name
2023-08-01 02:45:00,3.48686,normal,RS2DG_3692#load-increase@25@97
2023-08-01 03:00:00,3.41449,normal,RS2DG_3692#load-increase@25@97
2023-08-01 03:15:00,3.58896,normal,RS2DG_3692#load-increase@25@97
2023-08-01 03:30:00,3.329981,normal,RS2DG_3692#load-increase@25@97
2023-08-01 03:45:00,3.39225,normal,RS2DG_3692#load-increase@25@97
2023-08-01 04:00:00,3.858684,normal,RS2DG_3692#load-increase@25@97
2023-08-01 04:15:00,5.16194,normal,RS2DG_3692#load-increase@25@97
2023-08-01 04:30:00,7.39105,normal,RS2DG_3692#load-increase@25@97
2023-08-01 04:45:00,7.92192,normal,RS2DG_3692#load-increase@25@97
2023-08-01 05:00:00,8.33908,normal,RS2DG_3692#load-increase@25@97
2023-08-01 05:15:00,9.1843,normal,RS2DG_3692#load-increase@25@97
2023-08-01 05:30:00,9.98695,normal,RS2DG_3692#load-increase@25@97
2023-08-01 05:45:00,11.69761,normal,RS2DG_3692#load-increase@25@97
2023-08-01 06:00:00,13.08618,normal,RS2DG_3692#load-increase@25@97
2023-08-01 06:15:00,14.04255,normal,RS2DG_3692#load-increase@25@97
2023-08-01 06:30:00,15.07194,normal,RS2DG_3692#load-increase@25@97
2023-08-01 06:45:00,17.94078,normal,RS2DG_3692#load-increase@25@97
2023-08-01 07:00:00,20.20759,normal,RS2DG_3692#load-increase@25@97
2023-08-01 07:15:00,21.41299,normal,RS2DG_3692#load-increase@25@97
2023-08-01 07:30:00,20.24364,normal,RS2DG_3692#load-increase@25@97
2023-08-01 07:45:00,19.49666,normal,RS2DG_3692#load-increase@25@97
2023-08-01 08:00:00,19.41442,normal,RS2DG_3692#load-increase@25@97
2023-08-01 08:15:00,19.15364,normal,RS2DG_3692#load-increase@25@97
2023-08-01 08:30:00,18.71812,normal,RS2DG_3692#load-increase@25@97
2023-08-01 08:45:00,18.87548,normal,RS2DG_3692#load-increase@25@97
2023-08-01 09:00:00,18.00164,normal,RS2DG_3692#load-increase@25@97
2023-08-01 09:15:00,16.63793,normal,RS2DG_3692#load-increase@25@97
2023-08-01 09:30:00,15.32787,normal,RS2DG_3692#load-increase@25@97
2023-08-01 09:45:00,16.66123,normal,RS2DG_3692#load-increase@25@97
2023-08-01 10:00:00,17.08747,normal,RS2DG_3692#load-increase@25@97
2023-08-01 10:15:00,19.04208,normal,RS2DG_3692#load-increase@25@97
2023-08-01 10:45:00,15.06104,normal,RS2DG_3692#load-increase@25@97
2023-08-01 11:00:00,16.26687,normal,RS2DG_3692#load-increase@25@97
2023-08-01 11:15:00,15.5448,normal,RS2DG_3692#load-increase@25@97
2023-08-01 11:30:00,12.14178,normal,RS2DG_3692#load-increase@25@97
2023-08-01 11:45:00,11.62303,normal,RS2DG_3692#load-increase@25@97
2023-08-01 12:00:00,12.23852,normal,RS2DG_3692#load-increase@25@97
